age,two_year_recid,priors_count,length_of_stay,score,c_charge_degree_M,race_Other,sex_Male
0.153846154,1,0.526315789,0.3975,0,0,0,1
0.141025641,1,0.526315789,0.07125,0,0,1,0
0.128205128,1,0.236842105,0.055,1,0,0,1
0.115384615,1,0.368421053,0.0025,0,0,0,1
0.141025641,1,0.315789474,0.05,1,1,1,1
0.192307692,1,0.421052632,0.00875,0,0,0,1
0.102564103,1,0.342105263,0.01,0,1,0,1
0.166666667,1,0.657894737,0.1475,0,1,0,1
0.192307692,1,0.315789474,0.00375,0,0,0,1
0.179487179,1,0.552631579,0.08125,0,0,0,1
0.128205128,1,0.368421053,0.00125,1,0,0,1
0.166666667,1,0.342105263,0.00125,0,1,0,1
0.153846154,1,0.473684211,0.0775,0,0,0,1
0.141025641,1,0.342105263,0.0025,0,0,0,1
0.141025641,1,0.289473684,0.0025,1,0,0,1
0.192307692,1,0.368421053,0.0025,0,0,0,1
0.153846154,1,0.236842105,0.06375,0,0,0,1
0.08974359,1,0.368421053,0.105,0,0,0,1
0.346153846,1,1,0.1525,0,0,0,1
0.371794872,1,0.5,0.26625,0,0,0,1
0.076923077,1,0.210526316,0.0625,1,0,0,1
0.153846154,1,0.368421053,0.08125,0,0,0,1
0.141025641,1,0.342105263,0.0025,0,0,0,1
0.153846154,1,0.236842105,0.24625,0,0,0,1
0.371794872,1,0.605263158,0.505,1,0,0,1
0.166666667,1,0.342105263,0.59,0,0,1,1
0.051282051,1,0.289473684,0.00125,0,0,0,1
0.269230769,1,0.5,0.225,0,0,0,1
0.08974359,1,0.236842105,0.10625,0,0,0,1
0.243589744,1,0.526315789,0.045,0,0,0,1
