RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.001129723,0.917808219,0.2,0.001174774,0.052100503,0.416666667,0.3,0,0.125,0,1
0.001297017,0.164383562,0.1,0.000118861,0.122613065,0.416666667,0.2,0,0.125,0,0
0.001253302,0.273972603,0.1,8.65E-05,0.07638191,0.166666667,0.4,0,0.125,0.75,0
0.001297017,0.410958904,0.1,0.000141466,0.135175879,0.25,0.8,0,0.25,0.25,1
0.001297017,0.205479452,0.5,0.000682189,0.075376884,0.541666667,0.2,0.5,0.25,0.5,0
0.000367159,0.602739726,0.1,0.000573603,0.064723618,0.083333333,0.2,0.25,0.125,0.75,0
0.000885106,0.260273973,0.2,0.000163291,0.103839196,0.083333333,0.3,0,0.125,0.25,0
0.001297017,0.301369863,0.2,0.000616958,0.045025126,0.166666667,0.2,0.25,0.125,0,0
0.001297017,0.219178082,0,0.000217236,0.06679397,0.208333333,0.3,0.25,0.375,0.5,1
0,0.534246575,0.2,0.000803154,0.024120603,0.291666667,0.3,0,0.125,0,0
0.000673904,0.287671233,0,0.000123778,0.107115578,0.166666667,0.3,0,0.125,0.5,1
0.001297017,0.273972603,0.1,0.000380679,0.060301508,0.125,0.3,0.25,0.125,0.25,1
0.001340847,0.315068493,0.1,0.000357687,0.057386935,0.041666667,0.2,0.25,0.125,0.25,0
0.009479857,0.452054795,0.2,0.000117392,0.075376884,0.166666667,0.2,0,0.125,0.25,0
0.001297017,0.424657534,0.2,0.000382635,0.084944724,0.375,0.2,0.75,0.25,0.75,1
0.001297017,0.561643836,0.2,0.000111565,0.130633166,0.083333333,0.2,0,0.125,0,0
0.001445988,0.082191781,0.1,6.25E-05,0.050251256,0.166666667,0.2,0,0.25,0.25,1
0.001029868,0.465753425,0.2,0.000262953,0.148743719,0.458333333,0.3,0.25,0.125,0.5,0
0.001173528,0.397260274,0.2,0.00109472,0.11561809,0.541666667,0.1,0.5,0.75,0,0
0.001389815,0.136986301,0.4,7.51E-05,0.110271357,0.25,0.1,0,0.375,0.5,1
0.001436555,0.123287671,0.3,0.000412299,0.08359799,0.5,0.2,0.25,0.25,0.5,0
0.001297017,0.438356164,0.2,0.000502747,0.117246231,0.333333333,0.3,0.5,0.125,0,1
0.00126364,0.260273973,0.3,0.00010108,0.168984925,0.208333333,0.3,0,0.125,0.25,0
0.001297017,0.205479452,0.4,0.000703368,0.044221106,0.416666667,0.1,0.25,0.875,0.25,0
0.001119204,0.287671233,0.2,0.000532279,0.208040201,0.541666667,0.3,0.5,0.25,0.5,0
0.001388364,0.150684932,0.2,0.000552104,0.069346734,0.583333333,0.1,0.25,0.5,0.25,0
0.001297017,0.287671233,0.2,0.000428975,0.080924623,0.208333333,0.1,0.25,0.25,0.5,0
0.001366815,0.547945205,0.3,0.000371754,0.125226131,0.5,0.2,0.5,0.125,0,0
0.001296938,0.534246575,0.1,0.000410772,0.066994975,0.333333333,0.6,0.25,0.125,0.25,1
0.001297017,0.547945205,0.2,0.14395689,0,0.041666667,0.6,0,0.125,0,1
